value,ones,date
50.01000000000006,1.0,1970-12-25
50.52000000000006,1.0,1970-12-26
50.48000000000006,1.0,1970-12-27
50.63000000000006,1.0,1970-12-28
51.60000000000006,1.0,1970-12-29
52.31000000000006,1.0,1970-12-30
52.41000000000006,1.0,1970-12-31
51.74000000000006,1.0,1971-01-01
52.220000000000056,1.0,1971-01-02
51.84000000000005,1.0,1971-01-03
51.50000000000005,1.0,1971-01-04
51.14000000000005,1.0,1971-01-05
50.31000000000005,1.0,1971-01-06
49.93000000000005,1.0,1971-01-07
49.40000000000005,1.0,1971-01-08
48.72000000000005,1.0,1971-01-09
47.93000000000005,1.0,1971-01-10
48.20000000000005,1.0,1971-01-11
47.86000000000005,1.0,1971-01-12
47.37000000000005,1.0,1971-01-13
46.380000000000045,1.0,1971-01-14
45.490000000000045,1.0,1971-01-15
45.36000000000004,1.0,1971-01-16
46.280000000000044,1.0,1971-01-17
47.200000000000045,1.0,1971-01-18
47.840000000000046,1.0,1971-01-19
46.990000000000045,1.0,1971-01-20
47.48000000000005,1.0,1971-01-21
47.37000000000005,1.0,1971-01-22
46.600000000000044,1.0,1971-01-23
47.55000000000005,1.0,1971-01-24
48.060000000000045,1.0,1971-01-25
47.08000000000005,1.0,1971-01-26
46.55000000000005,1.0,1971-01-27
46.87000000000005,1.0,1971-01-28
47.380000000000045,1.0,1971-01-29
47.30000000000005,1.0,1971-01-30
47.350000000000044,1.0,1971-01-31
47.79000000000004,1.0,1971-02-01
48.07000000000004,1.0,1971-02-02
47.43000000000004,1.0,1971-02-03
47.83000000000004,1.0,1971-02-04
48.58000000000004,1.0,1971-02-05
49.26000000000004,1.0,1971-02-06
48.350000000000044,1.0,1971-02-07
49.15000000000004,1.0,1971-02-08
48.95000000000004,1.0,1971-02-09
48.750000000000036,1.0,1971-02-10
49.60000000000004,1.0,1971-02-11
48.92000000000004,1.0,1971-02-12
48.28000000000004,1.0,1971-02-13
48.60000000000004,1.0,1971-02-14
49.52000000000004,1.0,1971-02-15
49.66000000000004,1.0,1971-02-16
48.69000000000004,1.0,1971-02-17
48.72000000000004,1.0,1971-02-18
47.95000000000004,1.0,1971-02-19
47.20000000000004,1.0,1971-02-20
46.83000000000004,1.0,1971-02-21
46.62000000000004,1.0,1971-02-22
47.40000000000004,1.0,1971-02-23
46.80000000000004,1.0,1971-02-24
46.210000000000036,1.0,1971-02-25
46.98000000000004,1.0,1971-02-26
47.65000000000004,1.0,1971-02-27
47.94000000000004,1.0,1971-02-28
48.15000000000004,1.0,1971-03-01
47.65000000000004,1.0,1971-03-02
48.05000000000004,1.0,1971-03-03
47.37000000000004,1.0,1971-03-04
47.12000000000004,1.0,1971-03-05
46.89000000000004,1.0,1971-03-06
46.840000000000046,1.0,1971-03-07
46.490000000000045,1.0,1971-03-08
45.71000000000004,1.0,1971-03-09
44.72000000000004,1.0,1971-03-10
44.19000000000004,1.0,1971-03-11
44.54000000000004,1.0,1971-03-12
43.84000000000004,1.0,1971-03-13
44.60000000000004,1.0,1971-03-14
44.41000000000004,1.0,1971-03-15
43.43000000000004,1.0,1971-03-16
43.90000000000004,1.0,1971-03-17
43.350000000000044,1.0,1971-03-18
43.89000000000004,1.0,1971-03-19
44.54000000000004,1.0,1971-03-20
45.29000000000004,1.0,1971-03-21
45.780000000000044,1.0,1971-03-22
46.50000000000004,1.0,1971-03-23
45.75000000000004,1.0,1971-03-24
44.90000000000004,1.0,1971-03-25
43.91000000000004,1.0,1971-03-26
44.74000000000004,1.0,1971-03-27
43.970000000000034,1.0,1971-03-28
43.94000000000003,1.0,1971-03-29
43.680000000000035,1.0,1971-03-30
44.63000000000004,1.0,1971-03-31
44.12000000000004,1.0,1971-04-01
45.10000000000004,1.0,1971-04-02
45.470000000000034,1.0,1971-04-03
46.330000000000034,1.0,1971-04-04
46.570000000000036,1.0,1971-04-05
47.45000000000004,1.0,1971-04-06
47.20000000000004,1.0,1971-04-07
47.17000000000004,1.0,1971-04-08
47.56000000000004,1.0,1971-04-09
46.570000000000036,1.0,1971-04-10
46.91000000000004,1.0,1971-04-11
47.44000000000004,1.0,1971-04-12
48.35000000000004,1.0,1971-04-13
47.48000000000004,1.0,1971-04-14
48.24000000000004,1.0,1971-04-15
48.320000000000036,1.0,1971-04-16
49.13000000000004,1.0,1971-04-17
48.69000000000004,1.0,1971-04-18
47.70000000000004,1.0,1971-04-19
48.680000000000035,1.0,1971-04-20
49.45000000000004,1.0,1971-04-21
48.570000000000036,1.0,1971-04-22
47.900000000000034,1.0,1971-04-23
47.040000000000035,1.0,1971-04-24
47.77000000000003,1.0,1971-04-25
48.45000000000003,1.0,1971-04-26
49.35000000000003,1.0,1971-04-27
50.24000000000003,1.0,1971-04-28
50.35000000000003,1.0,1971-04-29
50.83000000000003,1.0,1971-04-30
51.74000000000002,1.0,1971-05-01
52.090000000000025,1.0,1971-05-02
51.260000000000026,1.0,1971-05-03
50.800000000000026,1.0,1971-05-04
49.92000000000002,1.0,1971-05-05
50.53000000000002,1.0,1971-05-06
51.230000000000025,1.0,1971-05-07
51.10000000000002,1.0,1971-05-08
51.270000000000024,1.0,1971-05-09
51.120000000000026,1.0,1971-05-10
50.93000000000003,1.0,1971-05-11
51.43000000000003,1.0,1971-05-12
51.840000000000025,1.0,1971-05-13
52.050000000000026,1.0,1971-05-14
52.980000000000025,1.0,1971-05-15
52.15000000000003,1.0,1971-05-16
52.53000000000003,1.0,1971-05-17
51.66000000000003,1.0,1971-05-18
51.76000000000003,1.0,1971-05-19
50.81000000000003,1.0,1971-05-20
49.88000000000003,1.0,1971-05-21
49.55000000000003,1.0,1971-05-22
49.750000000000036,1.0,1971-05-23
50.26000000000003,1.0,1971-05-24
51.180000000000035,1.0,1971-05-25
50.63000000000004,1.0,1971-05-26
50.09000000000004,1.0,1971-05-27
49.55000000000004,1.0,1971-05-28
50.31000000000004,1.0,1971-05-29
50.930000000000035,1.0,1971-05-30
50.10000000000004,1.0,1971-05-31
50.180000000000035,1.0,1971-06-01
50.720000000000034,1.0,1971-06-02
50.55000000000003,1.0,1971-06-03
50.13000000000003,1.0,1971-06-04
49.900000000000034,1.0,1971-06-05
49.41000000000003,1.0,1971-06-06
49.03000000000003,1.0,1971-06-07
49.11000000000003,1.0,1971-06-08
49.300000000000026,1.0,1971-06-09
49.660000000000025,1.0,1971-06-10
50.03000000000002,1.0,1971-06-11
49.96000000000002,1.0,1971-06-12
50.75000000000002,1.0,1971-06-13
49.76000000000002,1.0,1971-06-14
48.79000000000002,1.0,1971-06-15
48.09000000000002,1.0,1971-06-16
47.20000000000002,1.0,1971-06-17
48.01000000000002,1.0,1971-06-18
47.44000000000002,1.0,1971-06-19
46.82000000000002,1.0,1971-06-20
47.03000000000002,1.0,1971-06-21
46.96000000000002,1.0,1971-06-22
45.97000000000002,1.0,1971-06-23
46.13000000000002,1.0,1971-06-24
45.530000000000015,1.0,1971-06-25
44.710000000000015,1.0,1971-06-26
44.250000000000014,1.0,1971-06-27
43.390000000000015,1.0,1971-06-28
43.640000000000015,1.0,1971-06-29
43.06000000000002,1.0,1971-06-30
43.920000000000016,1.0,1971-07-01
44.26000000000002,1.0,1971-07-02
45.00000000000002,1.0,1971-07-03
44.75000000000002,1.0,1971-07-04
44.83000000000002,1.0,1971-07-05
45.25000000000002,1.0,1971-07-06
45.41000000000002,1.0,1971-07-07
45.87000000000002,1.0,1971-07-08
45.240000000000016,1.0,1971-07-09
44.460000000000015,1.0,1971-07-10
44.710000000000015,1.0,1971-07-11
44.01000000000001,1.0,1971-07-12
43.94000000000001,1.0,1971-07-13
43.60000000000001,1.0,1971-07-14
44.46000000000001,1.0,1971-07-15
44.690000000000005,1.0,1971-07-16
43.71000000000001,1.0,1971-07-17
44.23000000000001,1.0,1971-07-18
45.05000000000001,1.0,1971-07-19
45.56000000000001,1.0,1971-07-20
45.88000000000001,1.0,1971-07-21
46.80000000000001,1.0,1971-07-22
46.15000000000001,1.0,1971-07-23
45.27000000000001,1.0,1971-07-24
44.85000000000001,1.0,1971-07-25
43.99000000000001,1.0,1971-07-26
43.32000000000001,1.0,1971-07-27
43.400000000000006,1.0,1971-07-28
42.59,1.0,1971-07-29
43.24,1.0,1971-07-30
43.18,1.0,1971-07-31
42.22,1.0,1971-08-01
42.98,1.0,1971-08-02
42.58,1.0,1971-08-03
43.16,1.0,1971-08-04
42.79,1.0,1971-08-05
43.1,1.0,1971-08-06
43.11,1.0,1971-08-07
43.07,1.0,1971-08-08
43.06,1.0,1971-08-09
44.03,1.0,1971-08-10
43.78,1.0,1971-08-11
44.7,1.0,1971-08-12
44.34,1.0,1971-08-13
44.63,1.0,1971-08-14
44.31,1.0,1971-08-15
45.080000000000005,1.0,1971-08-16
44.74,1.0,1971-08-17
45.74,1.0,1971-08-18
45.79,1.0,1971-08-19
46.43,1.0,1971-08-20
47.07,1.0,1971-08-21
47.82,1.0,1971-08-22
47.74,1.0,1971-08-23
48.63,1.0,1971-08-24
48.31,1.0,1971-08-25
48.32,1.0,1971-08-26
49.11,1.0,1971-08-27
48.62,1.0,1971-08-28
48.599999999999994,1.0,1971-08-29
49.489999999999995,1.0,1971-08-30
49.73,1.0,1971-08-31
49.32,1.0,1971-09-01
49.52,1.0,1971-09-02
49.7,1.0,1971-09-03
49.39,1.0,1971-09-04
50.09,1.0,1971-09-05
50.45,1.0,1971-09-06
49.620000000000005,1.0,1971-09-07
50.25000000000001,1.0,1971-09-08
49.34000000000001,1.0,1971-09-09
48.57000000000001,1.0,1971-09-10
48.59000000000001,1.0,1971-09-11
48.79000000000001,1.0,1971-09-12
47.860000000000014,1.0,1971-09-13
48.500000000000014,1.0,1971-09-14
47.52000000000002,1.0,1971-09-15
48.000000000000014,1.0,1971-09-16
47.670000000000016,1.0,1971-09-17
47.38000000000002,1.0,1971-09-18
47.750000000000014,1.0,1971-09-19
47.930000000000014,1.0,1971-09-20
47.09000000000001,1.0,1971-09-21
47.21000000000001,1.0,1971-09-22
46.77000000000001,1.0,1971-09-23
47.37000000000001,1.0,1971-09-24
47.070000000000014,1.0,1971-09-25
47.69000000000001,1.0,1971-09-26
47.29000000000001,1.0,1971-09-27
46.37000000000001,1.0,1971-09-28
45.54000000000001,1.0,1971-09-29
46.54000000000001,1.0,1971-09-30
46.63000000000002,1.0,1971-10-01
47.29000000000001,1.0,1971-10-02
46.460000000000015,1.0,1971-10-03
46.48000000000002,1.0,1971-10-04
46.08000000000002,1.0,1971-10-05
46.77000000000002,1.0,1971-10-06
47.47000000000002,1.0,1971-10-07
47.86000000000002,1.0,1971-10-08
48.10000000000002,1.0,1971-10-09
48.060000000000024,1.0,1971-10-10
47.15000000000003,1.0,1971-10-11
46.440000000000026,1.0,1971-10-12
46.020000000000024,1.0,1971-10-13
46.35000000000002,1.0,1971-10-14
45.46000000000002,1.0,1971-10-15
45.550000000000026,1.0,1971-10-16
45.00000000000003,1.0,1971-10-17
45.02000000000003,1.0,1971-10-18
44.93000000000003,1.0,1971-10-19
45.25000000000003,1.0,1971-10-20
44.75000000000003,1.0,1971-10-21
44.25000000000003,1.0,1971-10-22
44.260000000000026,1.0,1971-10-23
43.43000000000003,1.0,1971-10-24
44.06000000000003,1.0,1971-10-25
44.86000000000003,1.0,1971-10-26
44.07000000000003,1.0,1971-10-27
44.70000000000003,1.0,1971-10-28
43.81000000000003,1.0,1971-10-29
44.64000000000003,1.0,1971-10-30
44.73000000000003,1.0,1971-10-31
44.070000000000036,1.0,1971-11-01
44.900000000000034,1.0,1971-11-02
44.60000000000004,1.0,1971-11-03
43.970000000000034,1.0,1971-11-04
43.92000000000004,1.0,1971-11-05
43.66000000000004,1.0,1971-11-06
43.52000000000004,1.0,1971-11-07
44.140000000000036,1.0,1971-11-08
44.45000000000004,1.0,1971-11-09
44.08000000000004,1.0,1971-11-10
44.420000000000044,1.0,1971-11-11
44.57000000000004,1.0,1971-11-12
44.73000000000004,1.0,1971-11-13
44.66000000000004,1.0,1971-11-14
44.19000000000004,1.0,1971-11-15
44.88000000000004,1.0,1971-11-16
45.58000000000004,1.0,1971-11-17
45.63000000000004,1.0,1971-11-18
45.03000000000004,1.0,1971-11-19
44.24000000000004,1.0,1971-11-20
43.62000000000004,1.0,1971-11-21
43.08000000000004,1.0,1971-11-22
43.08000000000004,1.0,1971-11-23
42.37000000000004,1.0,1971-11-24
41.73000000000004,1.0,1971-11-25
42.61000000000004,1.0,1971-11-26
41.69000000000004,1.0,1971-11-27
42.45000000000004,1.0,1971-11-28
42.45000000000004,1.0,1971-11-29
43.22000000000004,1.0,1971-11-30
42.51000000000004,1.0,1971-12-01
43.09000000000004,1.0,1971-12-02
42.99000000000004,1.0,1971-12-03
42.290000000000035,1.0,1971-12-04
41.42000000000004,1.0,1971-12-05
41.99000000000004,1.0,1971-12-06
41.470000000000034,1.0,1971-12-07
40.70000000000003,1.0,1971-12-08
41.23000000000003,1.0,1971-12-09
40.35000000000003,1.0,1971-12-10
40.20000000000003,1.0,1971-12-11
40.24000000000003,1.0,1971-12-12
40.95000000000003,1.0,1971-12-13
40.52000000000003,1.0,1971-12-14
39.57000000000003,1.0,1971-12-15
40.35000000000003,1.0,1971-12-16
40.45000000000003,1.0,1971-12-17
40.70000000000003,1.0,1971-12-18
40.86000000000003,1.0,1971-12-19
40.60000000000003,1.0,1971-12-20
41.58000000000003,1.0,1971-12-21
42.47000000000003,1.0,1971-12-22
42.86000000000003,1.0,1971-12-23
42.980000000000025,1.0,1971-12-24
43.53000000000002,1.0,1971-12-25
44.130000000000024,1.0,1971-12-26
44.53000000000002,1.0,1971-12-27
44.370000000000026,1.0,1971-12-28
44.74000000000002,1.0,1971-12-29
44.510000000000026,1.0,1971-12-30
45.35000000000003,1.0,1971-12-31
45.89000000000003,1.0,1972-01-01
45.22000000000003,1.0,1972-01-02
45.770000000000024,1.0,1972-01-03
45.200000000000024,1.0,1972-01-04
44.940000000000026,1.0,1972-01-05
45.800000000000026,1.0,1972-01-06
46.79000000000003,1.0,1972-01-07
45.79000000000003,1.0,1972-01-08
46.07000000000003,1.0,1972-01-09
45.70000000000003,1.0,1972-01-10
46.48000000000003,1.0,1972-01-11
45.94000000000003,1.0,1972-01-12
45.080000000000034,1.0,1972-01-13
44.34000000000003,1.0,1972-01-14
44.70000000000003,1.0,1972-01-15
44.69000000000003,1.0,1972-01-16
45.19000000000003,1.0,1972-01-17
45.70000000000003,1.0,1972-01-18
46.37000000000003,1.0,1972-01-19
45.81000000000003,1.0,1972-01-20
44.91000000000003,1.0,1972-01-21
44.900000000000034,1.0,1972-01-22
